index,fish-a1-002,fish-a2-029,fish-b1-158,fish-b2-171,fish-c1-008,fish-c2-018,larvae-18BG,larvae-23BGD
1,0.760766,0.824273,0.807407,0.787879,0.75885,0.759259,0.86875,0.84
2,0.472915,0.548209,0.392752,0.270125,0.363006,0.319712,0.590099,0.610236
3,0.361466,0.450627,0.336548,0.211849,0.344457,0.330455,0.441006,0.379845
4,0.311433,0.383878,0.20804,0.140713,0.243996,0.237232,0.338144,0.312741
5,0.418084,0.449004,0.273389,0.212598,0.258698,0.233444,0.284264,0.2287
6,0.266364,0.337607,0.143008,0.081511,0.171268,0.170492,0.251397,0.240385
7,0.226582,0.308998,0.161708,0.077562,0.164863,0.110518,0.173729,0.191667
8,0.963907,0.948413,0.958015,0.959322,0.954639,0.901809,0.953757,0.92517
9,0.934903,0.903017,0.881013,0.922535,0.875688,0.830345,0.908228,0.876847
10,0.925466,0.868202,0.864111,0.937294,0.874078,0.81794,0.869801,0.875776
11,0.906278,0.885017,0.853488,0.927302,0.863611,0.826058,0.860254,0.867692
12,0.87234,0.828054,0.758065,0.83871,0.677419,0.5,0.744186,0.714286
13,0.891156,0.900662,0.964706,0.956989,0.915254,0.938776,0.74026,0.6
14,0.906077,0.874674,0.869159,0.90678,0.880734,0.965517,0.643678,0.571429
15,0.912181,0.881779,0.906606,0.93913,0.899886,0.814917,0.774752,0.775281
16,0.551527,0.512907,0.432071,0.548611,0.364952,0.424731,0.642157,0.68
17,0.434783,0.542373,0.521127,0.454545,0.4375,0.54717,0.558824,0.423077
18,0.437956,0.47619,0.294737,0.353659,0.442857,0.555556,0.413043,0.363636
19,0.35545,0.422857,0.32,0.336,0.451807,0.557576,0.6,0.277778
20,0.24,0.360544,0.184685,0.144578,0.298182,0.474916,0.152941,0.173077
21,0.35443,0.427515,0.319277,0.280992,0.454183,0.572093,0.504132,0.488095
22,0.511571,0.460892,0.473748,0.457627,0.45976,0.465712,0.524664,0.486239
23,0.488834,0.460017,0.554591,0.479012,0.496938,0.480217,0.629808,0.653465
24,0.606061,0.58467,0.672727,0.659091,0.546831,0.554506,0.687179,0.583333
25,0.383663,0.389474,0.379679,0.409283,0.410319,0.445161,0.526316,0.714286
26,0.733668,0.70904,0.630769,0.792,0.552795,0.47205,0.603774,0.769231
27,0.014706,0.014218,0.033333,0,0,0.016129,0,0
28,0.012658,0.021834,0.009901,0.018182,0.010526,0.044118,0.052632,0
29,0.01087,0.011719,0.00885,0.029851,0.019048,0,0,0
30,0.010309,0.011194,0,0.028986,0.008929,0,0,0.071429
31,0.008621,0.012698,0.033333,0.02381,0.0375,0.006803,0,0
32,0,0.008299,0.017937,0,0.011594,0.00303,0,0
33,0.011407,0.005725,0.012605,0.013245,0.005333,0.01061,0,0
34,0.007143,0.003571,0.008264,0.006024,0,0.002347,0.036364,0
35,0.007444,0.004093,0.004673,0.004149,0.010989,0.001441,0,0
36,0.008475,0.018219,0.043614,0.017857,0.011282,0.012206,0,0.014925
37,0.003241,0.014778,0.006135,0.011594,0.004941,0.005872,0.007576,0
38,0.003067,0.008443,0.010029,0.013587,0.00551,0.006149,0,0
39,0.007134,0.01487,0.00925,0.004505,0.006277,0.008301,0,0
40,0.009574,0.016578,0.015238,0.016667,0.018777,0.012195,0.007968,0
41,0.005336,0.015082,0.008555,0.00404,0.011622,0.009567,0.011538,0
42,0.00565,0.023256,0.016048,0.016807,0.013084,0.0104,0.00885,0.01
43,0.004082,0.017949,0.003492,0.009732,0.010417,0.007388,0,0
44,0.005137,0.009657,0.006202,0,0.005631,0.006352,0,0.018868
45,0.007194,0.012304,0.013136,0.006061,0.013597,0.006067,0.008772,0
46,0.005758,0.012972,0.010187,0.006557,0.012346,0.006565,0.010204,0
47,0.014184,0.003215,0.006061,0,0.006024,0,0,0
48,0,0.008889,0,0,0.011765,0.009709,0,0
49,0.909091,0.969231,0.945455,0.921569,0.969697,0.923077,0.44,0.380952
50,0.851562,0.901887,0.935897,0.830769,0.929577,0.928571,0.580645,0.37037
51,0.543243,0.568662,0.611374,0.568966,0.572559,0.639785,0.388235,0.392857
52,0.65748,0.653997,0.613187,0.660517,0.57536,0.632783,0.491379,0.425
53,0.46473,0.442897,0.355353,0.368821,0.446959,0.52957,0.315315,0.285714
54,0.480813,0.476471,0.369458,0.390041,0.445338,0.552023,0.361905,0.318841
55,0.426901,0.441606,0.358974,0.383784,0.417051,0.533333,0.273684,0.290909
56,0.365672,0.490842,0.284483,0.326531,0.362319,0.340909,0.244444,0.368421
57,0.619469,0.818182,0.826923,0.875,0.764706,0.785714,0.344828,0.533333
58,0.915049,0.919786,0.897019,0.901099,0.890777,0.857798,0.819149,0.886792
59,0.929455,0.875447,0.857687,0.926566,0.860668,0.824417,0.751323,0.838983
60,0.875,0.86343,0.875386,0.930057,0.879162,0.773295,0.691667,0.806667
61,0.782609,0.772755,0.772685,0.823024,0.792723,0.732458,0.457143,0.491124
62,0.646685,0.644048,0.670251,0.686179,0.65929,0.630292,0.273273,0.254054
63,0.457944,0.637765,0.611111,0.761111,0.644444,0.632432,0.161765,0.25
64,0.647619,0.667323,0.668103,0.730769,0.551331,0.706522,0.30137,0.269231
65,0.357143,0.003448,0.698113,0.601504,0.416459,0.082192,0,0
66,0.635036,0.634177,0.580442,0.63197,0.598437,0.584665,0.697802,0.782609
67,0.822857,0.743227,0.800487,0.833935,0.79564,0.679195,0.492537,0.525773
68,0.801181,0.754258,0.787286,0.788235,0.797203,0.691884,0.365854,0.318182
69,0.721992,0.731305,0.737624,0.81405,0.764957,0.671368,0.324074,0.2625
70,0.758929,0.690367,0.70566,0.805556,0.70318,0.5,0.242424,0.159091
71,0.727778,0.693215,0.71564,0.75,0.668449,0.513393,0.446809,0.655172
72,0.778761,0.635945,0.5625,0.721311,0.671429,0.3625,0.555556,0.785714
73,0.734043,0.595628,0.522727,0.648148,0.462963,0.410714,0.4375,0.571429
74,0.935428,0.935401,0.924528,0.943218,0.947536,0.926606,0.964,0.952
75,0.953887,0.937543,0.934831,0.924485,0.925224,0.885609,0.953125,0.946237
76,0.888783,0.857505,0.865325,0.906149,0.829268,0.781493,0.92976,0.939597
77,0.84542,0.803,0.571848,0.88254,0.709234,0.598802,0.843066,0.879699
78,0.809045,0.785523,0.511521,0.834061,0.693215,0.48773,0.895833,0.883721
79,0.740541,0.74934,0.552239,0.875,0.674699,0.5,0.913462,0.833333
80,0.791111,0.859756,0.921788,0.893333,0.851852,0.77707,0.92,0.93617
81,0.797048,0.854054,0.898551,0.872832,0.830097,0.802817,0.905983,0.90566
82,0.585106,0.731409,0.789165,0.767442,0.633377,0.690367,0.853448,0.820896
83,0.732759,0.767262,0.67357,0.78,0.662703,0.670928,0.9,0.912844
84,0.794163,0.756467,0.587057,0.821809,0.693957,0.520334,0.853081,0.883333
85,0.401961,0.463054,0.333333,0.492063,0.333333,0.210526,0.8,0.705882
86,0.84467,0.802122,0.786003,0.878229,0.760608,0.684904,0.9,0.932075
87,0.828601,0.833567,0.832226,0.864341,0.768838,0.747925,0.373494,0.416216
88,0.715031,0.766807,0.736364,0.79572,0.660748,0.628983,0.25387,0.177778
89,0.748132,0.802726,0.792363,0.811359,0.666866,0.67319,0.173611,0.148148
90,0.720129,0.808602,0.78695,0.816327,0.67772,0.690874,0.176895,0.166667
91,0.504283,0.609286,0.584261,0.603272,0.467659,0.489075,0.075188,0.03876
92,0.519084,0.616912,0.583936,0.628151,0.458824,0.519139,0.076628,0.048
93,0.347639,0.394892,0.44593,0.444142,0.343416,0.244959,0.108247,0.076087
94,0.686486,0.706052,0.656442,0.742574,0.636015,0.466667,0.163265,0.148148
95,0.01,0.013636,0.013699,0.012821,0,0,0,0
96,0,0.010135,0.026786,0.009346,0,0.032258,0,0.025641
97,0.002198,0.028571,0.014368,0.021053,0.020045,0.024609,0.004367,0.007407
98,0.043478,0.044726,0.028818,0.02439,0.032115,0.035565,0.00974,0.006061
99,0.005688,0.020466,0.007282,0.008403,0.012068,0.008507,0.005556,0.004762
100,0.076023,0.118603,0.067327,0.116236,0.081645,0.062161,0.004684,0
101,0.042711,0.06338,0.029356,0.053286,0.048623,0.040299,0.008772,0.003774
102,0.029617,0.053834,0.027337,0.035,0.023219,0.029827,0.002096,0
103,0.008651,0.027702,0.010563,0.0199,0.015898,0.013655,0.002096,0
104,0.012177,0.050847,0.019512,0.041322,0.037225,0.019108,0.003891,0
105,0.010327,0.015106,0.00277,0.003135,0.007449,0.016275,0,0.00813
106,0.030769,0.037394,0.017361,0.02518,0.023136,0.010025,0.005405,0
107,0.009132,0.023171,0.010949,0.029304,0.007853,0.007692,0,0.021505
108,0.017544,0.016713,0,0.00823,0.006734,0.006173,0,0.025316
109,0,0.024779,0.019608,0.017544,0.022523,0.003802,0.007576,0
