"pid","fport","type","priority","qos","len","data","pid.1","rtc_timestamp","battery_level_mv","mcu_temp_deg","period_fsm_s","period_depth_s","period_gps_s","period_status_s","period_argos_s","elect_strategy","argos_fport","crc","crc_valid","rtc_timestamp_dt","is_released","nb_profile_recorded","atmo_mean_pres","atmo_mean_temp","gps_timestamp","gps_latitude","gps_longitude","gps_ehpe","gps_ttf","gps_fixtype","gps_timestamp_dt"
"5","211","1","2","1","21","0500F44DCF6927000000B0FE7644B641DB41D3A2E3","5","1775193588","3900.0","","","","","","","","211","58274","True","2026-04-03 05:19:48+00:00","0.0","0.0","987.9794921875","27.407085418701172","","","","","","",""
"6","211","1","2","1","21","0600174ECF6927000000400577443FFAF241D3D8B6","6","1775193623","3900.0","","","","","","","","211","46808","True","2026-04-03 05:20:23+00:00","0.0","0.0","988.08203125","30.372190475463867","","","","","","",""
"9","211","1","2","1","21","0900554FCF69270000006BBC7644881DED41D310E7","9","1775193941","3900.0","","","","","","","","211","59152","True","2026-04-03 05:25:41+00:00","0.0","0.0","986.9440307617188","29.639419555664062","","","","","","",""
"12","211","1","2","1","21","0C009650CF6927000000988276445325E641D30CF1","12","1775194262","3900.0","","","","","","","","211","61708","True","2026-04-03 05:31:02+00:00","0.0","0.0","986.04052734375","28.768224716186523","","","","","","",""
"14","211","1","2","1","21","0E00CF51CF6927000000325B76444550DB41D3E12C","14","1775194575","3900.0","","","","","","","","211","11489","True","2026-04-03 05:36:15+00:00","0.0","0.0","985.4249267578125","27.414194107055664","","","","","","",""
"17","211","1","2","1","21","11000453CF6927000000B36576441E37DA41D39082","17","1775194884","3900.0","","","","","","","","211","33424","True","2026-04-03 05:41:24+00:00","0.0","0.0","985.5890502929688","27.276912689208984","","","","","","",""
"19","211","1","2","1","21","13002D54CF69270000009E6B76442E2FDA41D3B418","19","1775195181","3900.0","","","","","","","","211","6324","True","2026-04-03 05:46:21+00:00","0.0","0.0","985.6815185546875","27.27303695678711","","","","","","",""
"22","211","1","2","1","21","16007155CF69270000004D6A7644BB58DA41D38A4B","22","1775195505","3900.0","","","","","","","","211","19338","True","2026-04-03 05:51:45+00:00","0.0","0.0","985.6609497070312","27.293325424194336","","","","","","",""
"25","211","1","2","1","21","1900B356CF6927000000466B76442BDEDA41D36D3F","25","1775195827","3900.0","","","","","","","","211","16237","True","2026-04-03 05:57:07+00:00","0.0","0.0","985.6761474609375","27.35848045349121","","","","","","",""
"27","211","1","2","1","21","1B00E357CF69270000002B7876444B1BDC41D319AA","27","1775196131","3900.0","","","","","","","","211","43545","True","2026-04-03 06:02:11+00:00","0.0","0.0","985.8776245117188","27.51332664489746","","","","","","",""
"30","211","1","2","1","21","1E002359CF6927000000E68C76446257DD41D3C52F","30","1775196451","3900.0","","","","","","","","211","12229","True","2026-04-03 06:07:31+00:00","0.0","0.0","986.2015380859375","27.667667388916016","","","","","","",""
"32","211","1","2","1","21","20005B5ACF69270000003D95764456FCDD41D3549C","32","1775196763","3900.0","","","","","","","","211","40020","True","2026-04-03 06:12:43+00:00","0.0","0.0","986.3318481445312","27.748210906982422","","","","","","",""
"35","211","1","2","1","21","23009E5BCF6927000000369376447A79DF41D3E495","35","1775197086","3900.0","","","","","","","","211","38372","True","2026-04-03 06:18:06+00:00","0.0","0.0","986.3001708984375","27.934314727783203","","","","","","",""
"38","211","1","2","1","21","2600EB5CCF69270000000BA076448A39E241D3B090","38","1775197419","3900.0","","","","","","","","211","37040","True","2026-04-03 06:23:39+00:00","0.0","0.0","986.5006713867188","28.278095245361328","","","","","","",""
"40","211","1","2","1","21","28001E5ECF6927000000A5B27644D37EE441D3F6B4","40","1775197726","3900.0","","","","","","","","211","46326","True","2026-04-03 06:28:46+00:00","0.0","0.0","986.7913208007812","28.561925888061523","","","","","","",""
"43","211","1","2","1","21","2B00585FCF6927000000EBB6764400CCE641D3B0FC","43","1775198040","3900.0","","","","","","","","211","64688","True","2026-04-03 06:34:00+00:00","0.0","0.0","986.8580932617188","28.849609375","","","","","","",""
"45","211","1","2","1","21","2D009560CF692700000013A876443802E841D3CDC2","45","1775198357","3900.0","","","","","","","","211","49869","True","2026-04-03 06:39:17+00:00","0.0","0.0","986.6261596679688","29.001083374023438","","","","","","",""
"48","211","1","2","1","21","3000D561CF69270000008B9B7644436BE941D37803","48","1775198677","3900.0","","","","","","","","211","888","True","2026-04-03 06:44:37+00:00","0.0","0.0","986.4303588867188","29.1773738861084","","","","","","",""
"51","211","1","2","1","21","33001C63CF6927000000B09176443818EB41D39A09","51","1775199004","3900.0","","","","","","","","211","2458","True","2026-04-03 06:50:04+00:00","0.0","0.0","986.2763671875","29.386825561523438","","","","","","",""
"53","211","1","2","1","21","35005B64CF69270000000E927644D607ED41D350F6","53","1775199323","3900.0","","","","","","","","211","63056","True","2026-04-03 06:55:23+00:00","0.0","0.0","986.2821044921875","29.628826141357422","","","","","","",""
"56","211","1","2","1","21","3800AC65CF692700000058A37644E52BEF41D36B23","56","1775199660","3900.0","","","","","","","","211","9067","True","2026-04-03 07:01:00+00:00","0.0","0.0","986.55224609375","29.896432876586914","","","","","","",""
"58","211","1","2","1","21","3A00D966CF6927000000DAB876443BACF141D3A7D0","58","1775199961","3900.0","","","","","","","","211","53415","True","2026-04-03 07:06:01+00:00","0.0","0.0","986.8883056640625","30.209096908569336","","","","","","",""
"61","211","1","2","1","21","3D002B68CF692700000033A776440517F541D33821","61","1775200299","3900.0","","","","","","","","211","8504","True","2026-04-03 07:11:39+00:00","0.0","0.0","986.6124877929688","30.636240005493164","","","","","","",""
"64","211","1","2","1","21","40005B69CF69270000002368764443ACF541D3F8F6","64","1775200603","3900.0","","","","","","","","211","63224","True","2026-04-03 07:16:43+00:00","0.0","0.0","985.6271362304688","30.7091121673584","","","","","","",""
"66","211","1","2","1","21","4200906ACF6927000000C64A7644FD11F641D39438","66","1775200912","3900.0","","","","","","","","211","14484","True","2026-04-03 07:21:52+00:00","0.0","0.0","985.1683349609375","30.7587833404541","","","","","","",""
"69","211","1","2","1","21","4500D66BCF6927000000565F76449E20F741D3C2B3","69","1775201238","3900.0","","","","","","","","211","46018","True","2026-04-03 07:27:18+00:00","0.0","0.0","985.4896240234375","30.890926361083984","","","","","","",""
"72","211","1","2","1","21","48001B6DCF69270000003671764413DEF841D3E126","72","1775201563","3900.0","","","","","","","","211","9953","True","2026-04-03 07:32:43+00:00","0.0","0.0","985.7689208984375","31.108434677124023","","","","","","",""
"74","211","1","2","1","21","4A005A6ECF69270000007E5B7644D60DFA41D337DB","74","1775201882","3900.0","","","","","","","","211","56119","True","2026-04-03 07:38:02+00:00","0.0","0.0","985.4295654296875","31.256755828857422","","","","","","",""
"77","211","1","2","1","21","4D00986FCF692700000036297644D562F941D3F693","77","1775202200","3900.0","","","","","","","","211","37878","True","2026-04-03 07:43:20+00:00","0.0","0.0","984.6439208984375","31.17325782775879","","","","","","",""
"79","211","1","2","1","21","4F00D670CF6927000000A6257644460CF941D38A36","79","1775202518","3900.0","","","","","","","","211","13962","True","2026-04-03 07:48:38+00:00","0.0","0.0","984.5882568359375","31.130992889404297","","","","","","",""
"82","211","1","2","1","21","52000C72CF69270000004B3B7644FDB8F941D3B933","82","1775202828","3900.0","","","","","","","","211","13241","True","2026-04-03 07:53:48+00:00","0.0","0.0","984.9264526367188","31.2153263092041","","","","","","",""
"85","211","1","2","1","21","55005673CF6927000000423D76443BF1FA41D3C219","85","1775203158","3900.0","","","","","","","","211","6594","True","2026-04-03 07:59:18+00:00","0.0","0.0","984.9571533203125","31.367788314819336","","","","","","",""
"87","211","1","2","1","21","57009074CF6927000000251C764462E2FA41D3027F","87","1775203472","3900.0","","","","","","","","211","32514","True","2026-04-03 08:04:32+00:00","0.0","0.0","984.4397583007812","31.360538482666016","","","","","","",""
"90","211","1","2","1","21","5A00D275CF6927000000E8EE7544806EF941D3FC98","90","1775203794","3900.0","","","","","","","","211","39164","True","2026-04-03 08:09:54+00:00","0.0","0.0","983.73291015625","31.178955078125","","","","","","",""
"93","211","1","2","1","21","5D001D77CF6927000000C3E17544E584F641D3461F","93","1775204125","3900.0","","","","","","","","211","8006","True","2026-04-03 08:15:25+00:00","0.0","0.0","983.5275268554688","30.814889907836914","","","","","","",""
"95","211","1","2","1","21","5F005578CF69270000003DFB75449046F541D3CCC7","95","1775204437","3900.0","","","","","","","","211","51148","True","2026-04-03 08:20:37+00:00","0.0","0.0","983.9255981445312","30.659454345703125","","","","","","",""
"98","211","1","2","1","21","62009279CF6927000000D615764466E0F441D319BE","98","1775204754","3900.0","","","","","","","","211","48665","True","2026-04-03 08:25:54+00:00","0.0","0.0","984.3411865234375","30.609569549560547","","","","","","",""
"101","211","1","2","1","21","6500D47ACF69270000003321764470C9F441D30F02","101","1775205076","3900.0","","","","","","","","211","527","True","2026-04-03 08:31:16+00:00","0.0","0.0","984.5187377929688","30.598358154296875","","","","","","",""
"103","211","1","2","1","21","67001E7CCF6927000000FB1D76447270F541D399AF","103","1775205406","3900.0","","","","","","","","211","44953","True","2026-04-03 08:36:46+00:00","0.0","0.0","984.4684448242188","30.67990493774414","","","","","","",""
"106","211","1","2","1","21","6A004C7DCF692700000036157644C2CBF541D33027","106","1775205708","3900.0","","","","","","","","211","10032","True","2026-04-03 08:41:48+00:00","0.0","0.0","984.3314208984375","30.724491119384766","","","","","","",""
"108","211","1","2","1","21","6C00777ECF692700000028397644AA71F941D3F402","108","1775206007","3900.0","","","","","","","","211","756","True","2026-04-03 08:46:47+00:00","0.0","0.0","984.89306640625","31.180500030517578","","","","","","",""
"111","211","1","2","1","21","6F00BC7FCF692700000043947644EA050142D3B54C","111","1775206332","3900.0","","","","","","","","211","19637","True","2026-04-03 08:52:12+00:00","0.0","0.0","986.3165893554688","32.255775451660156","","","","","","",""
"114","211","1","2","1","21","72000D81CF692700000015CC764496D30642D3F097","114","1775206669","3900.0","","","","","","","","211","38896","True","2026-04-03 08:57:49+00:00","0.0","0.0","987.1887817382812","33.706626892089844","","","","","","",""
"116","211","1","2","1","21","74003D82CF6927000000EAAB7644FF4A0942D35AD7","116","1775206973","3900.0","","","","","","","","211","55130","True","2026-04-03 09:02:53+00:00","0.0","0.0","986.6861572265625","34.323238372802734","","","","","","",""
"119","211","1","2","1","21","77007D83CF6927000000A2827644DAB70942D315AC","119","1775207293","3900.0","","","","","","","","211","44053","True","2026-04-03 09:08:13+00:00","0.0","0.0","986.0411376953125","34.429542541503906","","","","","","",""
"121","211","1","2","1","21","7900AC84CF6927000000327C7644D6C70A42D38599","121","1775207596","3900.0","","","","","","","","211","39301","True","2026-04-03 09:13:16+00:00","0.0","0.0","985.9405517578125","34.695152282714844","","","","","","",""
"124","211","1","2","1","21","7C00E585CF692700000032357644688A0A42D30251","124","1775207909","3900.0","","","","","","","","211","20738","True","2026-04-03 09:18:29+00:00","0.0","0.0","984.8311767578125","34.635162353515625","","","","","","",""
"126","211","1","2","1","21","7E001487CF69270000007E91754408260742D39F42","126","1775208212","3900.0","","","","","","","","211","17055","True","2026-04-03 09:23:32+00:00","0.0","0.0","982.2733154296875","33.787139892578125","","","","","","",""
"129","211","1","2","1","21","81005788CF6927000000A5427544C0300442D399C6","129","1775208535","3900.0","","","","","","","","211","50841","True","2026-04-03 09:28:55+00:00","0.0","0.0","981.0413208007812","33.047607421875","","","","","","",""
"132","211","1","2","1","21","8400A089CF6927000000D04F754444180242D39401","132","1775208864","3900.0","","","","","","","","211","404","True","2026-04-03 09:34:24+00:00","0.0","0.0","981.2470703125","32.52369689941406","","","","","","",""
