,result,table,_time,_start,_stop,_measurement,client_id,deveui,name,appid,battery_V,day,devadd,devid,fcnt,fport,freq_sec,frmpayload,gw_json,gwcnt,gweui,gwid,gwlat,gwlng,hexapayload,hour,id,mins,month,rssi,sec,snr,spreading_factor,timestamp,year,bandwidth,channel_rssi,gwalt,tproc,P1B,P30B,T1B,T30B,depth_m_1B,depth_m_30B,speed_mps_30B
0,_result,1,2025-12-12 09:04:46.813591+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.13,1,,70B3D57ED006A005,770,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010100140a04b0019d01670d0c720024850c1f0175380ff300260b0fcf03de2d0cb30094d10b4703d7d50b6a00f98b0971,0,a0,20,1,-105.0,10,6.0,12,2025-12-12 09:04:36.253000+00:00,2024,,,,2024-01-01 00:20:10+00:00,919.17,934.9,31.86,31.03,-0.9383000000000004,-0.7810000000000002,
1,_result,1,2025-12-12 09:04:46.813591+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.13,1,,70B3D57ED006A005,770,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010100140a04b0019d01670d0c720024850c1f0175380ff300260b0fcf03de2d0cb30094d10b4703d7d50b6a00f98b0971,0,a0,20,1,-105.0,10,6.0,12,2025-12-12 09:04:36.253000+00:00,2024,,,,2024-01-01 00:20:13+00:00,955.44,973.9,40.83,40.47,-0.5755999999999994,-0.39100000000000024,0.13
2,_result,1,2025-12-12 09:04:46.813591+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.13,1,,70B3D57ED006A005,770,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010100140a04b0019d01670d0c720024850c1f0175380ff300260b0fcf03de2d0cb30094d10b4703d7d50b6a00f98b0971,0,a0,20,1,-105.0,10,6.0,12,2025-12-12 09:04:36.253000+00:00,2024,,,,2024-01-01 00:20:16+00:00,2534.85,3809.7,32.51,28.87,15.218499999999999,27.967,9.452666666666667
3,_result,1,2025-12-12 09:04:46.813591+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.13,1,,70B3D57ED006A005,770,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010100140a04b0019d01670d0c720024850c1f0175380ff300260b0fcf03de2d0cb30094d10b4703d7d50b6a00f98b0971,0,a0,20,1,-105.0,10,6.0,12,2025-12-12 09:04:36.253000+00:00,2024,,,,2024-01-01 00:20:19+00:00,2518.61,6388.3,29.22,24.17,15.0561,53.753,8.595333333333334
4,_result,1,2025-12-12 09:05:07.327939+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.12,1,,70B3D57ED006A005,771,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010101280a04b0019c03d76b0b5500fe8e095903d7850b5a0100f4095703d7780b58010039095803d7890b5b01006b095c,1,a0,40,1,-95.0,10,-12.0,12,2025-12-12 09:04:56.243000+00:00,2024,,,,2024-01-01 01:40:10+00:00,2517.55,6516.6,29.01,23.93,15.045500000000002,55.036,0.4276666666666671
5,_result,1,2025-12-12 09:05:07.327939+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.12,1,,70B3D57ED006A005,771,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010101280a04b0019c03d76b0b5500fe8e095903d7850b5a0100f4095703d7780b58010039095803d7890b5b01006b095c,1,a0,40,1,-95.0,10,-12.0,12,2025-12-12 09:04:56.243000+00:00,2024,,,,2024-01-01 01:40:13+00:00,2517.81,6578.0,29.06,23.91,15.0481,55.65,0.20466666666666575
6,_result,1,2025-12-12 09:05:07.327939+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.12,1,,70B3D57ED006A005,771,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010101280a04b0019c03d76b0b5500fe8e095903d7850b5a0100f4095703d7780b58010039095803d7890b5b01006b095c,1,a0,40,1,-95.0,10,-12.0,12,2025-12-12 09:04:56.243000+00:00,2024,,,,2024-01-01 01:40:16+00:00,2517.68,6559.3,29.04,23.92,15.046799999999998,55.463,-0.06233333333333254
7,_result,1,2025-12-12 09:05:07.327939+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.12,1,,70B3D57ED006A005,771,32,1200,,{'orange-gateway': 'no data'},2,,orange-gateway,0.0,0.0,a018010101280a04b0019c03d76b0b5500fe8e095903d7850b5a0100f4095703d7780b58010039095803d7890b5b01006b095c,1,a0,40,1,-95.0,10,-12.0,12,2025-12-12 09:04:56.243000+00:00,2024,,,,2024-01-01 01:40:19+00:00,2517.85,6564.3,29.07,23.96,15.048499999999999,55.513000000000005,0.01666666666666809
8,_result,1,2025-12-12 09:05:17.869806+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.12,1,,70B3D57ED006A005,772,32,1200,,{'orange-gateway': 'no data'},3,,orange-gateway,0.0,0.0,a018010103000a04b0019c03d7b00b63010040096603d80b0b75010045097903d7e90b6e00fffa097103d76a0b5500ff9f095a,3,a0,0,1,-102.0,10,0.0,12,2025-12-12 09:05:16.243000+00:00,2024,,,,2024-01-01 03:00:10+00:00,2518.24,6560.0,29.15,24.06,15.052399999999999,55.47,-0.014333333333335455
9,_result,1,2025-12-12 09:05:17.869806+00:00,2025-12-01 01:00:00+00:00,2026-01-29 23:00:00+00:00,pres-temp-meas,loraship-fifo,70B3D57ED006A005,70B3D57ED006A005,/Loraship,4.12,1,,70B3D57ED006A005,772,32,1200,,{'orange-gateway': 'no data'},3,,orange-gateway,0.0,0.0,a018010103000a04b0019c03d7b00b63010040096603d80b0b75010045097903d7e90b6e00fffa097103d76a0b5500ff9f095a,3,a0,0,1,-102.0,10,0.0,12,2025-12-12 09:05:16.243000+00:00,2024,,,,2024-01-01 03:00:13+00:00,2519.15,6560.5,29.33,24.25,15.0615,55.475,0.0016666666666675194
