index,time,dive-temperature,dive-depth,dive-speed
780,2025-12-12 09:08:02.744440+00:00,25.32,30.489,0.019999999999999574
780,2025-12-12 09:08:02.744440+00:00,25.3,30.444000000000003,-0.014999999999999384
780,2025-12-12 09:08:02.744440+00:00,25.29,29.47,-0.32466666666666794
780,2025-12-12 09:08:02.744440+00:00,25.3,29.453000000000003,-0.005666666666665303
781,2025-12-12 09:08:23.421210+00:00,25.36,33.872,1.472999999999999
781,2025-12-12 09:08:23.421210+00:00,25.33,36.391000000000005,0.8396666666666684
781,2025-12-12 09:08:23.421210+00:00,25.32,36.167,-0.07466666666666792
781,2025-12-12 09:08:23.421210+00:00,25.33,37.358999999999995,0.39733333333333104
782,2025-12-12 09:08:43.915860+00:00,25.34,37.22,-0.04633333333333193
782,2025-12-12 09:08:43.915860+00:00,25.41,37.085,-0.04499999999999934
782,2025-12-12 09:08:43.915860+00:00,25.29,32.993,-1.3639999999999997
782,2025-12-12 09:08:43.915860+00:00,25.18,31.595,-0.4660000000000011
783,2025-12-12 09:09:04.576967+00:00,25.06,33.278,0.5609999999999999
783,2025-12-12 09:09:04.576967+00:00,25.05,36.101000000000006,0.9410000000000025
783,2025-12-12 09:09:04.576967+00:00,25.15,35.826,-0.09166666666666856
783,2025-12-12 09:09:04.576967+00:00,25.25,36.263999999999996,0.14599999999999844
784,2025-12-12 09:09:25.282556+00:00,25.4,33.49100000000001,-0.9243333333333297
784,2025-12-12 09:09:25.282556+00:00,25.43,33.571999999999996,0.026999999999996287
784,2025-12-12 09:09:25.282556+00:00,25.51,34.063,0.16366666666666893
784,2025-12-12 09:09:25.282556+00:00,25.6,33.629,-0.1446666666666682
786,2025-12-12 09:09:45.777925+00:00,25.6,35.908,0.7596666666666678
786,2025-12-12 09:09:45.777925+00:00,25.41,33.097,-0.9369999999999999
786,2025-12-12 09:09:45.777925+00:00,24.92,35.668,0.8569999999999993
786,2025-12-12 09:09:45.777925+00:00,24.85,35.593,-0.02499999999999858
788,2025-12-12 09:10:26.687686+00:00,23.91,43.445,2.6173333333333324
788,2025-12-12 09:10:26.687686+00:00,23.88,43.327,-0.03933333333333403
788,2025-12-12 09:10:26.687686+00:00,24.08,43.18,-0.04899999999999949
788,2025-12-12 09:10:26.687686+00:00,24.17,44.43,0.4166666666666667
789,2025-12-12 09:10:47.188285+00:00,24.24,44.498999999999995,0.022999999999998504
789,2025-12-12 09:10:47.188285+00:00,24.2,44.643,0.04800000000000182
789,2025-12-12 09:10:47.188285+00:00,24.16,44.643,0.0
789,2025-12-12 09:10:47.188285+00:00,24.22,44.403999999999996,-0.0796666666666681
790,2025-12-12 09:10:57.856258+00:00,24.24,46.876999999999995,0.824333333333333
790,2025-12-12 09:10:57.856258+00:00,24.3,46.13399999999999,-0.24766666666666737
790,2025-12-12 09:10:57.856258+00:00,24.44,46.622,0.16266666666666887
790,2025-12-12 09:10:57.856258+00:00,24.49,46.825,0.06766666666666765
791,2025-12-12 09:11:18.378714+00:00,24.43,45.838,-0.3290000000000006
791,2025-12-12 09:11:18.378714+00:00,24.36,46.184,0.11533333333333218
791,2025-12-12 09:11:18.378714+00:00,24.52,46.886,0.23400000000000176
791,2025-12-12 09:11:18.378714+00:00,24.76,46.52,-0.12199999999999989
792,2025-12-12 09:11:39.046909+00:00,24.97,46.114,-0.1353333333333353
792,2025-12-12 09:11:39.046909+00:00,25.11,46.863,0.24966666666666745
792,2025-12-12 09:11:39.046909+00:00,24.76,44.236000000000004,-0.8756666666666651
792,2025-12-12 09:11:39.046909+00:00,25.21,39.982,-1.4180000000000017
793,2025-12-12 09:11:59.713861+00:00,24.88,42.901,0.9730000000000013
793,2025-12-12 09:11:59.713861+00:00,24.67,42.92,0.006333333333332784
793,2025-12-12 09:11:59.713861+00:00,24.79,42.417,-0.1676666666666667
793,2025-12-12 09:11:59.713861+00:00,24.8,42.951,0.17799999999999963
794,2025-12-12 09:12:20.237396+00:00,24.72,42.735,-0.07200000000000036
794,2025-12-12 09:12:20.237396+00:00,24.66,42.468999999999994,-0.08866666666666845
794,2025-12-12 09:12:20.237396+00:00,24.64,42.495,0.008666666666667785
794,2025-12-12 09:12:20.237396+00:00,24.67,42.442,-0.01766666666666576
795,2025-12-12 09:12:40.897381+00:00,24.65,43.244,0.2673333333333332
795,2025-12-12 09:12:40.897381+00:00,24.56,43.026,-0.07266666666666548
795,2025-12-12 09:12:40.897381+00:00,24.49,42.326,-0.23333333333333428
795,2025-12-12 09:12:40.897381+00:00,24.43,41.416000000000004,-0.3033333333333322
796,2025-12-12 09:13:01.637616+00:00,23.97,40.513999999999996,-0.30066666666666936
796,2025-12-12 09:13:01.637616+00:00,23.84,40.976000000000006,0.15400000000000347
796,2025-12-12 09:13:01.637616+00:00,23.75,41.3,0.10799999999999699
796,2025-12-12 09:13:01.637616+00:00,23.66,40.65,-0.2166666666666662
797,2025-12-12 09:13:22.138835+00:00,23.61,40.652,0.0006666666666674814
797,2025-12-12 09:13:22.138835+00:00,23.64,40.408,-0.08133333333333326
797,2025-12-12 09:13:22.138835+00:00,23.74,40.863,0.1516666666666661
797,2025-12-12 09:13:22.138835+00:00,23.87,41.038999999999994,0.058666666666664945
798,2025-12-12 09:13:42.838400+00:00,23.99,41.388000000000005,0.11633333333333695
798,2025-12-12 09:13:42.838400+00:00,24.41,40.985,-0.13433333333333528
798,2025-12-12 09:13:42.838400+00:00,24.38,40.676,-0.10299999999999916
798,2025-12-12 09:13:42.838400+00:00,24.56,41.062,0.12866666666666524
799,2025-12-12 09:14:03.527510+00:00,25.59,40.239,-0.2743333333333335
799,2025-12-12 09:14:03.527510+00:00,25.94,38.081,-0.7193333333333314
799,2025-12-12 09:14:03.527510+00:00,25.66,36.526,-0.5183333333333332
799,2025-12-12 09:14:03.527510+00:00,25.42,31.523000000000003,-1.6676666666666666
800,2025-12-12 09:14:24.031250+00:00,25.9,27.189,-1.4446666666666677
800,2025-12-12 09:14:24.031250+00:00,25.85,25.596,-0.531
800,2025-12-12 09:14:24.031250+00:00,25.66,27.831999999999997,0.7453333333333324
800,2025-12-12 09:14:24.031250+00:00,25.4,28.178,0.11533333333333455
802,2025-12-12 09:14:45.189185+00:00,24.51,30.763,0.8616666666666669
802,2025-12-12 09:14:45.189185+00:00,24.41,32.372,0.5363333333333328
802,2025-12-12 09:14:45.189185+00:00,24.34,32.74,0.12266666666666737
802,2025-12-12 09:14:45.189185+00:00,24.37,32.683,-0.01900000000000072
803,2025-12-12 09:15:05.887695+00:00,24.87,30.958999999999996,-0.5746666666666679
803,2025-12-12 09:15:05.887695+00:00,24.98,32.19,0.4103333333333339
803,2025-12-12 09:15:05.887695+00:00,25.3,30.741,-0.4829999999999994
803,2025-12-12 09:15:05.887695+00:00,25.44,30.729,-0.004000000000000152
804,2025-12-12 09:15:26.383462+00:00,25.52,30.456,-0.0909999999999999
804,2025-12-12 09:15:26.383462+00:00,25.43,30.625999999999998,0.05666666666666605
804,2025-12-12 09:15:26.383462+00:00,25.38,30.590999999999998,-0.011666666666666714
804,2025-12-12 09:15:26.383462+00:00,25.29,29.921999999999997,-0.22300000000000017
