time,water-temperature,dive-depth,dive-max-depth,dive-mean-depth,dive-duration,profile_tstep_s,is_consecutive
2022-01-06 10:55:44.886000+00:00,2871.0,"[8.5, 11.2, 11.1, 12.2, 13.6, 13.2, 13.6, 11.9, 11.1, 12.3, 12.0, 10.0, 9.6, 8.8, 3.6, 0.1, 0.0, 0.0, 0.0, 0.0]",13.6,10.175,676.0,45.0,True
2022-01-06 10:59:39.886000+00:00,2847.0,"[0.6, 0.7, 0.4, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7,0.4499999999999999,49.0,15.0,True
2022-01-06 11:20:20.882000+00:00,2857.0,"[9.7, 13.8, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.9, 13.9, 14.0, 14.0, 14.0, 13.1, 4.5]",14.0,13.245,1167.0,60.0,True
2022-01-06 11:36:23.879000+00:00,2843.0,"[8.6, 12.2, 12.6, 11.9, 12.2, 13.0, 12.3, 13.2, 13.8, 13.8, 13.8, 13.9, 13.6, 13.3, 13.2, 13.0, 13.6, 9.0, 1.3, 0.0]",13.9,12.01578947368421,828.0,45.0,True
2022-01-06 11:53:01.876000+00:00,2839.0,"[8.9, 12.6, 12.8, 13.9, 13.9, 14.6, 14.5, 13.8, 11.9, 11.4, 10.3, 9.3, 8.8, 8.2, 9.1, 9.2, 8.3, 7.8, 3.9, 0.5]",14.6,10.185,861.0,45.0,True
2022-01-06 12:15:57.872000+00:00,2837.0,"[9.9, 12.1, 12.1, 12.7, 12.6, 12.6, 12.6, 12.6, 12.7, 12.7, 12.7, 12.7, 12.7, 12.7, 12.7, 12.7, 6.8, 0.0, 0.0, 0.0]",12.7,12.094117647058823,1253.0,75.0,False
2022-01-06 12:38:28.868000+00:00,2808.0,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2,0.2,7.0,15.0,True
2022-01-06 13:00:40.864000+00:00,2826.0,"[9.2, 11.0, 10.8, 11.5, 12.1, 12.3, 12.3, 12.3, 12.3, 12.3, 12.3, 12.3, 12.3, 12.4, 12.3, 12.3, 12.3, 12.3, 12.2, 5.1]",12.4,11.595,1192.0,60.0,True
2022-01-06 13:00:54.864000+00:00,2806.0,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1,0.1,6.0,15.0,True
2022-01-06 13:01:33.864000+00:00,2807.0,"[0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2,0.15,30.0,15.0,True
2022-01-06 13:02:06.864000+00:00,2808.0,"[0.4, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4,0.25,24.0,15.0,True
2022-01-06 13:02:27.864000+00:00,2809.0,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2,0.2,14.0,15.0,True
2022-01-06 13:11:07.862000+00:00,2822.0,"[6.5, 11.1, 12.4, 12.3, 12.8, 12.8, 12.7, 12.8, 11.9, 10.4, 8.7, 7.8, 7.1, 7.2, 6.1, 3.9, 1.1, 0.0, 0.0, 0.0]",12.8,9.270588235294117,494.0,30.0,True
2022-01-06 13:27:33.859000+00:00,2815.0,"[5.6, 7.5, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 4.8, 0.0, 0.0, 0.0, 0.0]",7.5,7.05,958.0,60.0,True
2022-01-06 13:43:47.856000+00:00,2814.0,"[5.1, 7.3, 7.3, 7.4, 7.3, 7.3, 7.4, 7.3, 7.4, 7.4, 7.4, 7.3, 7.3, 7.3, 7.3, 7.3, 7.4, 7.3, 7.3, 2.4]",7.4,6.975000000000001,889.0,45.0,True
2022-01-06 14:00:26.854000+00:00,2814.0,"[5.7, 7.3, 7.3, 7.3, 7.3, 7.3, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 6.5, 1.0, 0.0, 0.0, 0.0, 0.0]",7.4,6.80625,921.0,60.0,True
2022-01-06 14:14:29.851000+00:00,2814.0,"[4.4, 7.2, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 6.3, 1.7, 0.0, 0.0, 0.0]",7.3,6.735294117647059,752.0,45.0,True
2022-01-06 14:22:13.850000+00:00,2805.0,"[2.6, 4.1, 2.9, 2.6, 2.6, 2.8, 2.6, 2.6, 2.8, 3.2, 3.2, 2.9, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.1,2.723076923076923,380.0,30.0,True
2022-01-06 14:29:40.848000+00:00,2805.0,"[3.8, 5.5, 6.5, 7.4, 5.5, 4.9, 5.4, 5.0, 5.1, 3.9, 3.2, 1.9, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.4,4.492307692307692,366.0,30.0,True
2022-01-06 14:43:18.846000+00:00,2807.0,"[3.2, 5.4, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.4, 5.5, 5.4, 1.7, 0.0, 0.0]",5.5,5.144444444444445,789.0,45.0,True
2022-01-06 14:59:12.843000+00:00,2803.0,"[3.3, 5.3, 5.5, 5.5, 5.4, 5.4, 5.5, 5.4, 5.4, 5.5, 5.4, 5.4, 5.5, 5.5, 5.5, 5.4, 5.4, 5.5, 4.3, 0.6]",5.5,5.035,863.0,45.0,True
2022-01-06 15:09:33.841000+00:00,2803.0,"[3.1, 4.1, 3.4, 2.9, 3.1, 3.3, 3.8, 4.5, 4.9, 5.2, 5.7, 5.7, 5.7, 5.6, 5.7, 5.7, 4.2, 1.2, 0.0, 0.0]",5.7,4.322222222222223,536.0,30.0,True
2022-01-06 15:25:41.838000+00:00,2803.0,"[3.3, 5.8, 7.2, 6.5, 4.6, 3.5, 3.0, 3.4, 4.5, 5.2, 5.4, 5.4, 5.4, 5.4, 5.5, 5.5, 5.4, 5.4, 5.4, 2.9]",7.2,4.9350000000000005,893.0,45.0,True
2022-01-06 15:44:51.835000+00:00,2803.0,"[4.2, 5.4, 5.4, 5.3, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4, 5.3, 5.4, 5.4, 5.4, 5.3, 5.4, 3.8, 0.0, 0.0]",5.4,5.227777777777778,1077.0,60.0,True
2022-01-06 16:02:52.832000+00:00,2802.0,"[4.3, 5.4, 5.3, 5.3, 5.4, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 2.2, 0.0, 0.0, 0.0]",5.4,5.070588235294117,988.0,60.0,True
2022-01-06 16:20:49.829000+00:00,2801.0,"[3.9, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.3, 5.2, 5.3, 5.3, 5.3, 5.4, 5.3, 5.3, 1.9, 0.0, 0.0, 0.0]",5.4,5.01764705882353,1008.0,60.0,True
2022-01-06 16:38:32.825000+00:00,2812.0,"[4.3, 6.9, 8.3, 9.0, 9.0, 9.1, 9.0, 9.0, 9.1, 9.0, 9.0, 9.1, 9.0, 9.0, 9.0, 9.0, 4.4, 0.0, 0.0, 0.0]",9.1,8.305882352941177,1012.0,60.0,False
2022-01-06 17:22:14.817000+00:00,2806.0,"[6.1, 7.0, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.0, 7.0, 7.0, 7.0, 7.0, 7.1, 7.1, 7.1, 4.3]",7.1,6.88,1197.0,60.0,True
2022-01-06 17:42:43.814000+00:00,2806.0,"[5.8, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.9, 6.9, 7.0, 7.0, 6.9, 7.0, 7.0, 7.0, 6.9, 6.9, 6.9, 6.4, 0.8]",7.0,6.57,1157.0,60.0,True
2022-01-06 18:05:23.810000+00:00,2805.0,"[6.0, 6.9, 7.0, 7.0, 6.9, 7.0, 7.0, 7.0, 6.9, 6.9, 7.0, 7.0, 7.0, 6.9, 6.9, 7.0, 5.2, 0.0, 0.0, 0.0]",7.0,6.800000000000001,1273.0,75.0,True
2022-01-06 18:28:18.806000+00:00,2805.0,"[6.3, 7.0, 7.0, 7.0, 7.0, 7.0, 6.9, 7.0, 7.0, 7.0, 7.0, 6.9, 7.0, 7.0, 7.0, 7.0, 6.9, 2.4, 0.0, 0.0]",7.0,6.688888888888889,1300.0,75.0,True
2022-01-06 18:50:59.802000+00:00,2804.0,"[6.3, 6.9, 7.0, 7.0, 7.1, 7.1, 7.1, 7.0, 7.0, 7.0, 7.0, 7.0, 7.1, 7.0, 7.1, 7.0, 6.4, 1.4, 0.0, 0.0]",7.1,6.638888888888889,1288.0,75.0,True
2022-01-06 19:12:34.798000+00:00,2801.0,"[4.8, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.9, 6.9, 7.0, 6.9, 2.1, 0.0, 0.0, 0.0]",7.0,6.564705882352941,1224.0,75.0,True
2022-01-06 19:36:03.794000+00:00,2799.0,"[6.1, 6.9, 6.9, 6.9, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.9, 6.9, 7.0, 7.0, 7.0, 7.0, 7.0, 4.0, 0.0, 0.0]",7.0,6.755555555555556,1337.0,75.0,True
2022-01-06 19:59:25.790000+00:00,2793.0,"[5.5, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 4.2, 0.0, 0.0]",7.0,6.761111111111111,1328.0,75.0,True
2022-01-06 20:24:57.786000+00:00,2788.0,"[6.1, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.9, 2.1]",7.0,6.705,1449.0,75.0,True
2022-01-06 20:51:34.781000+00:00,2787.0,"[6.2, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.2, 7.2, 7.1, 4.4, 0.0, 0.0, 0.0]",7.2,6.9,1504.0,90.0,True
2022-01-06 21:18:00.776000+00:00,2785.0,"[6.3, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 4.2, 0.0, 0.0, 0.0]",7.1,6.882352941176471,1502.0,90.0,True
2022-01-06 21:44:13.772000+00:00,2783.0,"[5.7, 7.1, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 4.4]",7.2,6.98,1490.0,75.0,True
2022-01-06 22:08:43.767000+00:00,2788.0,"[5.9, 8.1, 9.1, 9.1, 9.1, 9.1, 9.2, 9.2, 9.1, 9.2, 9.1, 9.2, 9.2, 9.2, 9.2, 9.2, 9.1, 8.3, 2.9, 0.0]",9.2,8.552631578947368,1387.0,75.0,True
2022-01-06 22:36:10.763000+00:00,2781.0,"[6.1, 7.1, 7.1, 7.2, 7.1, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 6.6, 1.9, 0.0, 0.0]",7.2,6.794444444444445,1562.0,90.0,True
2022-01-06 23:04:07.758000+00:00,2779.0,"[6.4, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 4.7, 0.0, 0.0]",7.2,7.016666666666668,1588.0,90.0,True
2022-01-06 23:34:16.753000+00:00,2776.0,"[6.4, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.3, 7.3, 7.2, 7.3, 7.2, 7.2, 7.3, 7.2, 7.3, 6.7, 1.3]",7.3,6.865,1722.0,90.0,True
2022-01-07 00:05:01.747000+00:00,2775.0,"[6.6, 7.2, 7.2, 7.2, 7.3, 7.3, 7.3, 7.2, 7.3, 7.3, 7.3, 7.3, 7.2, 7.2, 7.3, 7.3, 7.3, 7.3, 7.3, 3.9]",7.3,7.065,1753.0,90.0,True
2022-01-07 00:32:16.743000+00:00,2773.0,"[6.4, 7.3, 7.3, 7.3, 7.3, 7.2, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.0, 1.5, 0.0, 0.0]",7.3,6.905555555555555,1552.0,90.0,True
2022-01-07 00:58:16.738000+00:00,2770.0,"[4.8, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 4.6]",7.3,7.040000000000001,1480.0,75.0,True
2022-01-07 01:29:02.733000+00:00,2770.0,"[6.5, 7.4, 7.4, 7.5, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.4, 7.0, 2.2]",7.5,7.08,1738.0,90.0,True
2022-01-07 01:55:33.728000+00:00,2777.0,"[5.2, 9.0, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 4.2]",9.3,8.825000000000001,1473.0,75.0,True
2022-01-07 02:25:46.723000+00:00,2773.0,"[7.3, 8.5, 8.8, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 6.0, 0.0]",9.3,8.95263157894737,1701.0,90.0,True
2022-01-07 02:26:20.723000+00:00,2758.0,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2,0.2,5.0,15.0,True
